title,url,price,ram,storage,graphics,display_size,generation,processor,discount
    Asus ExpertBook B5 Flip B5402FEA 11th Gen Int ...,https://www.ryanscomputers.com/asus-expertbook-b5-flip-b5402fea-11th-gen-intel-core-i7-1195g7-14-inch-fhd-led-touch-display-star-black-laptop,"Tk 149,000 ",RAM - 16GB,Storage - 512GB SSD,Graphics Memory - Shared,Display Size (Inch) - 14,Generation - 11th (Intel),Processor Type. - Core i7,not available
    Lenovo IdeaPad FLEX 5i 14IAU7 12th Gen Intel ...,https://www.ryanscomputers.com/lenovo-ideapad-flex-5i-14iau7-12th-gen-intel-core-i7-1255u-14-inch-2k-wuxga-ips-display-storm-grey-laptop,"Tk 149,000 ",RAM - 16GB,Storage - 512GB SSD,Graphics Memory - Shared,Display Size (Inch) - 14,Generation - 12th (Intel),Processor Type. - Core i7,not available
    Gigabyte Gaming G5 KE Intel Core i5 12500H 15 ...,https://www.ryanscomputers.com/gigabyte-gaming-g5-ke-intel-core-i5-12500h-15.6-inch-fhd-display-512gb-ssd-matte-black-gaming-laptop,"Tk 150,000 ",RAM - 8GB,Storage - 512GB SSD,Graphics Memory - 6GB,Display Size (Inch) - 15.6,Generation - 12th (Intel),Processor Type. - Core i5,not available
    Apple MacBook Pro (2022) Apple M2 Chip 13.3 I ...,https://www.ryanscomputers.com/apple-macbook-pro-2022-apple-m2-chip-space-gray-laptop,"Tk 154,000 ",RAM - 8GB,Storage - 256GB SSD,Graphics Memory - Shared,Display Size (Inch) - 13.3,Generation - Not Applicable,Processor Type. - Apple M2,not available
    Apple MacBook Pro (2022) Apple M2 Chip 13.3 I ...,https://www.ryanscomputers.com/apple-macbook-pro-2022-apple-m2-chip-display-silver-laptop,"Tk 154,000 ",RAM - 8GB,Storage - 256GB SSD,Graphics Memory - Shared,Display Size (Inch) - 13.3,Generation - Not Applicable,Processor Type. - Apple M2,not available
    Asus VivoBook Pro 15 M3500QC AMD Ryzen 9 5900 ...,https://www.ryanscomputers.com/asus-vivobook-pro-15-m3500qc-amd-ryzen-9-5900hx-15.6-inch-fhd-wv-display-quiet-blue-laptop,"Tk 154,000 ",RAM - 16GB,Storage - 512GB SSD,Graphics Memory - 4GB,Display Size (Inch) - 15.6,Generation - Not Applicable,Processor Type. - Ryzen 9,not available
    Lenovo IdeaPad Slim 5i 15IAL7 12th Gen Intel ...,https://www.ryanscomputers.com/lenovo-ideapad-slim-5i-15ial7-12th-gen-intel-core-i7-1255u-15.6-inch-fhd-ips-antiglare-display-storm-grey-laptop,"Tk 155,000 ",RAM - 16GB,Storage - 512GB SSD,Graphics Memory - 2GB,Display Size (Inch) - 15.6,Generation - 12th (Intel),Processor Type. - Core i7,not available
    Asus ZenBook 14X OLED UX5401EA Intel 1165G7 1 ...,https://www.ryanscomputers.com/asus-zenbook-14x-oled-ux5401ea-pine-grey-laptop,"Tk 157,000 ",RAM - 16GB,Storage - 512GB SSD,Graphics Memory - Shared,Display Size (Inch) - 14,Generation - 11th (Intel),Processor Type. - Core i7,not available
    Microsoft Surface Laptop 4 Intel Core i7 1185 ...,https://www.ryanscomputers.com/microsoft-surface-laptop-4-intel-core-i7-1185g7-15-inch-pixelsense-multi-touch-display-platinum-surface-laptop,"Tk 159,000 ",RAM - 8GB,Storage - 512GB SSD,Graphics Memory - Shared,Display Size (Inch) - 15,Generation - 11th (Intel),Processor Type. - Core i7,not available
    Microsoft Surface Laptop 4 Intel Core i7 1185 ...,https://www.ryanscomputers.com/microsoft-surface-laptop-4-intel-core-i7-1185g7-matte-black-surface-laptop-5if-00001,"Tk 159,000 ",RAM - 16GB,Storage - 256GB SSD,Graphics Memory - Shared,Display Size (Inch) - 15,Generation - 11th (Intel),Processor Type. - Core i7,not available
    Apple MacBook Air (Late 2020) Apple M1 Chip 1 ...,https://www.ryanscomputers.com/apple-macbook-air-late-2020-13.3-inch-space-gray-macbook,"Tk 159,000 ",RAM - 16GB,Storage - 256GB,Graphics Memory - Shared,Display Size (Inch) - 13.3,Generation - Not Applicable,Processor Type. - Apple M1,not available
    Apple MacBook Air (Late 2020) Apple M1 Chip ...,https://www.ryanscomputers.com/apple-macbook-air-late-2020-13.3-inch-retina-display-silver-macbook,"Tk 159,000 ",RAM - 16GB,Storage - 256GB,Graphics Memory - Shared,Display Size (Inch) - 13.3,Generation - Not Applicable,Processor Type. - Apple M1,not available
    Asus TUF Dash F15 FX517ZE Intel Core i5 12450 ...,https://www.ryanscomputers.com/asus-tuf-dash-f15-fx517ze-intel-core-i5-12450h-15.6-inch-fhd-led-wv-display-off-black-gaming-laptop,"Tk 159,000 ",RAM - 16GB,Storage - 512GB SSD,Graphics Memory - 4GB,Display Size (Inch) - 15.6,Generation - 12th (Intel),Processor Type. - Core i5,not available
